user_id,date,session_duration,songs_played,device,country,premium,feature_used
1,2025-12-27,74,5,iOS,Australia,Yes,Queue
2,2026-01-06,40,13,Android,UK,No,Offline Download
3,2026-01-30,32,3,Web,Canada,No,Lyrics
4,2026-05-02,55,34,Android,India,No,Wrapped
5,2026-04-18,110,50,Web,USA,No,Discover Weekly
6,2025-08-05,89,21,Desktop,India,No,Lyrics
7,2026-06-13,69,65,Android,Canada,No,Wrapped
8,2026-06-05,166,53,iOS,Canada,Yes,Lyrics
9,2026-01-17,179,74,Desktop,Australia,Yes,Discover Weekly
10,2026-04-06,62,72,iOS,India,No,Podcasts
11,2025-11-12,8,63,Desktop,UK,Yes,Lyrics
12,2025-08-19,12,18,Desktop,Canada,Yes,Podcasts
13,2026-04-22,180,53,Desktop,Canada,No,Offline Download
14,2026-03-03,49,76,Web,UK,No,Discover Weekly
15,2026-03-30,6,22,iOS,UK,No,Offline Download
16,2026-04-10,129,16,iOS,Australia,No,Search
17,2026-06-02,96,73,Android,Germany,Yes,Queue
18,2026-02-17,86,17,Desktop,Australia,Yes,Podcasts
19,2025-08-12,6,55,Android,India,Yes,Queue
20,2026-04-26,89,72,Web,Australia,Yes,Search
21,2025-12-25,177,6,Desktop,UK,Yes,Search
22,2025-10-30,30,53,Desktop,Germany,Yes,Lyrics
23,2026-06-11,112,66,Android,Australia,No,Playlist
24,2026-06-30,165,7,Android,USA,No,Discover Weekly
25,2026-03-08,169,50,Web,USA,No,Search
26,2026-03-26,41,39,iOS,USA,Yes,Discover Weekly
27,2025-10-28,36,67,Android,Germany,No,Podcasts
28,2025-07-06,14,5,iOS,UK,No,Queue
29,2025-10-19,52,21,Web,UK,No,Offline Download
30,2025-08-05,69,16,Web,Germany,No,Offline Download
31,2025-08-28,67,4,Desktop,USA,Yes,Wrapped
32,2026-05-29,76,13,Android,India,No,Queue
33,2026-05-31,127,50,Android,USA,Yes,Queue
34,2025-12-08,143,58,Desktop,USA,Yes,Discover Weekly
35,2025-12-03,55,71,Android,Germany,No,Search
36,2025-10-01,128,18,Web,UK,No,Search
37,2025-10-02,19,50,Android,USA,Yes,Discover Weekly
38,2026-02-13,97,69,Desktop,Australia,No,Lyrics
39,2025-07-25,74,22,Android,Germany,Yes,Offline Download
40,2026-06-23,59,63,Web,Australia,Yes,AI DJ
41,2026-02-04,64,30,Android,Australia,Yes,Podcasts
42,2025-10-08,58,27,Web,UK,Yes,Lyrics
43,2026-03-01,102,8,Android,Canada,No,Offline Download
44,2026-01-02,67,26,iOS,Australia,No,Lyrics
45,2026-01-08,166,44,Android,Canada,No,Playlist
46,2026-02-18,136,46,Android,USA,Yes,Offline Download
47,2025-12-19,55,67,iOS,India,No,Podcasts
48,2026-04-04,39,43,Android,India,No,Discover Weekly
49,2025-07-31,89,41,Desktop,Germany,No,Queue
50,2026-04-16,20,70,Android,USA,Yes,Discover Weekly
51,2025-11-21,27,29,Android,UK,No,Playlist
